Date,Date Label,County,Cases,Deaths
3/22/2020,3/23/2020,Genesee,14,0
3/22/2020,3/23/2020,Gladwin,1,0
3/22/2020,3/23/2020,Grand Traverse,1,0
3/22/2020,3/23/2020,Ingham,11,0
3/22/2020,3/23/2020,Jackson,1,0
3/22/2020,3/23/2020,Kent,20,1
3/22/2020,3/23/2020,Leelanau,1,0
3/22/2020,3/23/2020,Livingston,8,0
3/22/2020,3/23/2020,Macomb,140,1
3/22/2020,3/23/2020,Midland,5,0
3/22/2020,3/23/2020,Monroe,6,0
3/22/2020,3/23/2020,Montcalm,1,0
3/22/2020,3/23/2020,Oakland,277,1
3/22/2020,3/23/2020,Otsego,1,0
3/22/2020,3/23/2020,Ottawa,6,0
3/22/2020,3/23/2020,Out of State,2,0
3/22/2020,3/23/2020,Roscommon,1,0
3/22/2020,3/23/2020,Saginaw,2,0
3/22/2020,3/23/2020,St. Clair,7,0
3/22/2020,3/23/2020,Tuscola,1,0
3/22/2020,3/23/2020,Washtenaw,35,0
3/22/2020,3/23/2020,Wayne,152,1
3/22/2020,3/23/2020,Wexford,1,0
3/23/2020,3/24/2020,Allegan,1,0
3/23/2020,3/24/2020,Barry,1,0
3/23/2020,3/24/2020,Bay,1,0
3/23/2020,3/24/2020,Berrien,5,0
3/23/2020,3/24/2020,Calhoun,3,0
3/23/2020,3/24/2020,Charlevoix,2,0
3/23/2020,3/24/2020,Chippewa,1,0
3/23/2020,3/24/2020,Clare,1,0
3/23/2020,3/24/2020,Clinton,2,0
3/23/2020,3/24/2020,Detroit City,411,6
3/23/2020,3/24/2020,Eaton,2,0
3/23/2020,3/24/2020,Emmet,1,0
3/23/2020,3/24/2020,Genesee,23,0
3/23/2020,3/24/2020,Gladwin,1,0
3/23/2020,3/24/2020,Grand Traverse,1,0
3/23/2020,3/24/2020,Ingham,12,0
3/23/2020,3/24/2020,Jackson,1,0
3/23/2020,3/24/2020,Kalamazoo,3,0
3/23/2020,3/24/2020,Kent,28,1
3/23/2020,3/24/2020,Leelanau,1,0
3/23/2020,3/24/2020,Livingston,9,0
3/23/2020,3/24/2020,Macomb,175,2
3/23/2020,3/24/2020,Midland,5,0
3/23/2020,3/24/2020,Monroe,7,0
3/23/2020,3/24/2020,Montcalm,1,0
3/23/2020,3/24/2020,Muskegon,1,0
3/23/2020,3/24/2020,Newaygo,1,0
3/23/2020,3/24/2020,Oakland,329,4
3/23/2020,3/24/2020,Otsego,3,0
3/23/2020,3/24/2020,Ottawa,11,0
3/23/2020,3/24/2020,Out of State,4,0
3/23/2020,3/24/2020,Roscommon,1,0
3/23/2020,3/24/2020,Saginaw,2,0
3/23/2020,3/24/2020,St. Clair,7,0
3/23/2020,3/24/2020,Tuscola,1,0
3/23/2020,3/24/2020,Washtenaw,42,0
3/23/2020,3/24/2020,Wayne,227,2
3/23/2020,3/24/2020,Wexford,1,0
3/24/2020,3/25/2020,Allegan,1,0
3/24/2020,3/25/2020,Barry,1,0
3/24/2020,3/25/2020,Bay,2,0
3/24/2020,3/25/2020,Berrien,8,0
3/24/2020,3/25/2020,Calhoun,4,0
3/24/2020,3/25/2020,Charlevoix,3,0
3/24/2020,3/25/2020,Chippewa,1,0
3/24/2020,3/25/2020,Clare,1,0
3/24/2020,3/25/2020,Clinton,5,0
3/24/2020,3/25/2020,Detroit City,563,8
3/24/2020,3/25/2020,Eaton,3,0
3/24/2020,3/25/2020,Emmet,2,0
3/24/2020,3/25/2020,Genesee,34,0
3/24/2020,3/25/2020,Gladwin,2,0
3/24/2020,3/25/2020,Grand Traverse,3,0
3/24/2020,3/25/2020,Hillsdale,1,0
3/24/2020,3/25/2020,Ingham,15,0
3/24/2020,3/25/2020,Isabella,2,0
3/24/2020,3/25/2020,Jackson,6,0
3/24/2020,3/25/2020,Kalamazoo,3,0
3/24/2020,3/25/2020,Kalkaska,1,0
3/24/2020,3/25/2020,Kent,31,1
3/24/2020,3/25/2020,Lapeer,1,0
3/24/2020,3/25/2020,Leelanau,1,0
3/24/2020,3/25/2020,Livingston,13,0
3/24/2020,3/25/2020,Macomb,225,3
3/24/2020,3/25/2020,Manistee,1,0
3/24/2020,3/25/2020,Midland,5,0
3/24/2020,3/25/2020,Monroe,12,0
3/24/2020,3/25/2020,Montcalm,1,0
3/24/2020,3/25/2020,Muskegon,3,0
3/24/2020,3/25/2020,Newaygo,2,0
